,landing_page_id,origin,sdr_id,sr_id,business_segment,lead_type,lead_behaviour_profile,business_type,seller_state,sdr_load,sr_load
0,100,organic_search,high,high,electronics,online_medium,"cat, wolf",reseller,MG,6.0,5.0
1,100,paid_search,high,high,home,online_small,eagle,manufacturer,SP,20.0,14.0
2,46,social,high,high,home,online_medium,cat,manufacturer,PR,69.0,74.0
3,62,organic_search,high,high,kids,online_medium,cat,reseller,SP,18.0,17.0
4,56,unknown,high,high,miscellaneous,online_big,cat,reseller,SP,29.0,26.0
5,100,rest,high,high,automobiles,online_big,wolf,manufacturer,RS,17.0,12.0
6,13,organic_search,high,high,home,online_medium,wolf,manufacturer,SP,16.0,9.0
7,100,unknown,high,high,kids,online_medium,cat,reseller,SP,68.0,73.0
8,13,direct_traffic,high,high,miscellaneous,online_big,cat,manufacturer,SP,15.0,9.0
9,26,organic_search,high,high,food,online_medium,cat,reseller,SC,15.0,16.0
10,56,unknown,high,high,pet,online_top,cat,reseller,SP,11.0,15.0
11,100,paid_search,high,high,health,online_medium,cat,manufacturer,SP,8.0,7.0
12,56,social,high,high,kids,online_medium,cat,manufacturer,MG,34.0,56.0
13,100,organic_search,high,high,electronics,online_medium,cat,reseller,SP,39.0,54.0
14,100,organic_search,mid,high,pet,online_medium,cat,reseller,MG,7.0,14.0
15,100,paid_search,mid,high,furniture,offline,cat,manufacturer,SP,8.0,15.0
16,56,unknown,mid,high,miscellaneous,online_medium,eagle,reseller,ES,10.0,13.0
17,100,rest,mid,high,hobby,online_small,cat,manufacturer,SP,24.0,25.0
18,13,direct_traffic,mid,high,home,industry,cat,manufacturer,RJ,12.0,14.0
19,56,unknown,mid,high,health,online_medium,cat,manufacturer,SP,31.0,37.0
20,100,unknown,mid,high,automobiles,online_medium,cat,reseller,SP,12.0,15.0
21,56,unknown,mid,high,miscellaneous,online_small,cat,reseller,PR,11.0,12.0
22,56,organic_search,mid,high,home,online_medium,cat,manufacturer,SP,12.0,15.0
23,56,unknown,mid,high,food,offline,cat,reseller,SP,12.0,16.0
24,13,organic_search,mid,high,miscellaneous,online_big,cat,manufacturer,SP,10.0,12.0
25,26,paid_search,mid,high,utility,offline,eagle,reseller,SC,14.0,19.0
26,13,organic_search,mid,high,electronics,online_medium,cat,reseller,SP,11.0,14.0
27,100,paid_search,mid,high,automobiles,online_medium,eagle,reseller,MG,17.0,21.0
28,13,organic_search,mid,high,home,online_medium,eagle,manufacturer,SP,16.0,18.0
29,100,paid_search,mid,high,home,online_medium,cat,manufacturer,MG,7.0,15.0
30,56,unknown,mid,high,home,offline,cat,reseller,SP,16.0,19.0
31,100,direct_traffic,mid,high,home,online_medium,cat,manufacturer,GO,13.0,20.0
32,56,organic_search,mid,high,kids,online_medium,eagle,reseller,RJ,9.0,14.0
33,56,unknown,mid,high,miscellaneous,online_medium,eagle,reseller,SP,10.0,13.0
34,56,organic_search,mid,high,electronics,industry,cat,manufacturer,SP,19.0,20.0
35,100,social,mid,high,electronics,industry,eagle,reseller,DF,16.0,20.0
36,56,unknown,mid,high,kids,online_medium,cat,reseller,SP,8.0,10.0
37,26,paid_search,mid,high,health,online_big,eagle,reseller,SP,12.0,13.0
38,46,social,mid,high,health,offline,wolf,reseller,SP,11.0,25.0
39,56,organic_search,mid,high,automobiles,online_medium,cat,reseller,SP,17.0,17.0
40,62,paid_search,mid,high,electronics,online_small,cat,reseller,SP,13.0,15.0
41,100,direct_traffic,mid,high,health,online_medium,cat,reseller,SP,13.0,16.0
42,46,social,mid,high,kids,online_medium,cat,reseller,SP,11.0,15.0
43,100,organic_search,mid,high,miscellaneous,industry,eagle,reseller,SP,11.0,16.0
44,100,paid_search,mid,high,miscellaneous,online_medium,cat,reseller,SP,27.0,28.0
45,13,unknown,mid,high,food,industry,cat,reseller,SP,5.0,15.0
46,56,unknown,mid,high,home,online_big,cat,manufacturer,SP,13.0,16.0
47,62,paid_search,mid,high,home,online_medium,cat,reseller,SP,15.0,22.0
48,100,paid_search,mid,high,home,industry,cat,manufacturer,SC,9.0,15.0
49,26,paid_search,mid,high,health,online_small,cat,manufacturer,SP,12.0,20.0
50,46,social,mid,high,miscellaneous,online_beginner,cat,reseller,SP,10.0,12.0
51,56,unknown,mid,high,miscellaneous,online_medium,cat,reseller,SP,15.0,22.0
52,13,organic_search,mid,high,health,online_small,cat,reseller,SP,11.0,16.0
53,100,paid_search,mid,high,kids,industry,cat,manufacturer,SP,11.0,14.0
54,46,social,mid,high,kids,online_small,cat,reseller,SP,21.0,26.0
55,56,unknown,mid,high,hobby,offline,cat,reseller,SP,14.0,52.0
56,56,unknown,mid,high,kids,online_big,eagle,reseller,SP,7.0,12.0
57,56,organic_search,mid,high,electronics,one_seven_two,cat,reseller,SP,7.0,13.0
58,31,social,mid,high,health,online_medium,cat,reseller,SP,12.0,20.0
59,100,paid_search,mid,high,health,online_medium,cat,reseller,RJ,9.0,15.0
60,13,organic_search,low,high,health,online_top,cat,reseller,SP,6.0,7.0
61,100,paid_search,low,high,hobby,offline,cat,manufacturer,SP,10.0,6.0
62,13,organic_search,low,high,miscellaneous,online_big,cat,reseller,SP,11.0,7.0
63,56,unknown,low,high,home,online_medium,cat,reseller,SP,11.0,7.0
64,100,rest,low,high,electronics,online_big,cat,reseller,GO,10.0,6.0
65,62,direct_traffic,low,high,electronics,online_medium,cat,reseller,SP,3.0,6.0
66,46,social,low,high,pet,online_small,cat,reseller,RJ,13.0,25.0
67,13,unknown,low,high,electronics,online_medium,cat,reseller,SP,12.0,20.0
68,100,direct_traffic,low,high,home,online_small,cat,reseller,MG,9.0,21.0
69,56,unknown,low,high,health,offline,cat,manufacturer,RS,4.0,12.0
70,56,unknown,low,high,home,online_big,cat,reseller,RJ,4.0,7.0
71,100,rest,low,high,health,online_big,cat,reseller,RJ,2.0,4.0
72,26,paid_search,low,high,pet,industry,eagle,manufacturer,PR,2.0,6.0
73,100,paid_search,low,high,automobiles,online_big,cat,reseller,SP,7.0,16.0
74,26,paid_search,low,high,electronics,online_big,cat,reseller,SP,1.0,47.0
75,100,unknown,high,high,home,industry,wolf,manufacturer,SP,69.0,40.0
76,100,organic_search,high,high,home,online_medium,wolf,reseller,RJ,19.0,5.0
77,100,paid_search,high,high,miscellaneous,online_medium,wolf,reseller,SP,14.0,11.0
78,56,unknown,high,high,electronics,online_medium,wolf,reseller,SP,22.0,8.0
79,13,organic_search,high,high,health,online_big,cat,reseller,SP,15.0,10.0
80,100,paid_search,high,high,electronics,online_medium,cat,reseller,SP,15.0,11.0
81,46,social,high,high,food,online_small,cat,reseller,RS,30.0,15.0
82,26,paid_search,high,high,home,online_medium,cat,reseller,ES,15.0,11.0
83,26,paid_search,high,high,electronics,industry,cat,reseller,SP,21.0,11.0
84,31,unknown,high,high,hobby,online_medium,wolf,reseller,SP,15.0,7.0
85,56,unknown,high,high,kids,online_beginner,cat,reseller,SP,10.0,6.0
86,100,direct_traffic,high,high,kids,online_small,cat,reseller,MG,9.0,8.0
87,26,paid_search,high,high,home,online_medium,cat,manufacturer,MG,12.0,11.0
88,26,paid_search,high,high,utility,online_medium,cat,reseller,SP,9.0,7.0
89,100,organic_search,mid,high,home,online_big,cat,reseller,SP,8.0,6.0
90,13,rest,mid,high,health,offline,eagle,reseller,MG,11.0,7.0
91,13,organic_search,mid,high,hobby,online_medium,cat,reseller,PE,15.0,11.0
92,56,unknown,mid,high,automobiles,online_medium,cat,reseller,SC,30.0,39.0
93,56,organic_search,mid,high,kids,online_big,cat,reseller,SP,23.0,17.0
94,13,organic_search,mid,high,pet,industry,cat,reseller,PR,24.0,17.0
95,62,organic_search,mid,high,home,industry,eagle,reseller,PR,8.0,6.0
96,56,unknown,mid,high,electronics,online_big,eagle,reseller,PR,16.0,11.0
97,13,organic_search,mid,high,pet,online_big,eagle,reseller,SP,16.0,12.0
98,100,paid_search,mid,high,miscellaneous,online_big,cat,reseller,MG,5.0,6.0
99,62,paid_search,mid,high,electronics,online_beginner,cat,reseller,PR,22.0,36.0
100,13,paid_search,mid,high,home,online_big,cat,reseller,PR,9.0,9.0
101,56,unknown,mid,high,home,industry,cat,manufacturer,SP,9.0,9.0
102,56,unknown,mid,high,home,online_medium,cat,reseller,RS,11.0,10.0
103,13,organic_search,mid,high,health,online_beginner,cat,reseller,SP,12.0,10.0
104,100,paid_search,mid,high,food,online_small,cat,reseller,RJ,22.0,20.0
105,100,paid_search,mid,high,health,industry,cat,manufacturer,SP,7.0,4.0
106,31,social,mid,high,health,online_medium,cat,reseller,SP,12.0,17.0
107,100,unknown,mid,high,electronics,online_medium,wolf,reseller,PR,4.0,8.0
108,13,organic_search,mid,high,miscellaneous,online_medium,wolf,reseller,SP,6.0,8.0
109,100,paid_search,mid,high,hobby,offline,eagle,two_eight_seven,SP,5.0,9.0
110,100,unknown,mid,high,home,online_big,wolf,reseller,SP,6.0,7.0
111,13,organic_search,mid,high,electronics,online_medium,eagle,reseller,RS,5.0,6.0
112,100,unknown,mid,high,pet,online_top,cat,manufacturer,SP,4.0,3.0
113,100,paid_search,low,high,automobiles,online_medium,cat,manufacturer,SP,6.0,4.0
114,26,organic_search,low,high,miscellaneous,online_medium,cat,reseller,SP,3.0,2.0
115,56,unknown,low,high,miscellaneous,online_big,eagle,reseller,PB,1.0,23.0
116,100,direct_traffic,high,mid,home,online_beginner,cat,manufacturer,SP,23.0,13.0
117,100,paid_search,high,mid,miscellaneous,online_medium,wolf,reseller,SC,12.0,6.0
118,56,organic_search,high,mid,home,online_medium,cat,manufacturer,PR,49.0,23.0
119,46,social,high,mid,electronics,online_medium,wolf,reseller,SP,42.0,22.0
120,13,direct_traffic,high,mid,automobiles,online_medium,wolf,reseller,SP,10.0,6.0
121,100,organic_search,high,mid,health,online_medium,wolf,reseller,SP,12.0,3.0
122,100,organic_search,high,mid,food,online_medium,wolf,reseller,SP,55.0,27.0
123,100,direct_traffic,high,mid,miscellaneous,online_medium,cat,reseller,DF,15.0,7.0
124,13,organic_search,high,mid,home,online_medium,cat,reseller,SP,18.0,10.0
125,100,direct_traffic,high,mid,home,online_medium,wolf,manufacturer,SP,19.0,7.0
