,Coefficient
sdr_load,0.08332178071433599
sr_load,0.006673047305219382
landing_page_id_0,28608608925.234276
landing_page_id_1,102463330059.37712
landing_page_id_2,28608608926.34699
landing_page_id_3,28608608923.155525
landing_page_id_4,152562343783.15228
landing_page_id_5,111649908585.57428
landing_page_id_6,28608608927.810062
landing_page_id_7,28608608928.503544
landing_page_id_8,47428845254.38825
landing_page_id_9,28608608926.043045
landing_page_id_10,65606600785.551025
landing_page_id_11,28608608920.564827
landing_page_id_12,28608608922.540775
landing_page_id_13,28608608926.000088
landing_page_id_14,28608608926.18513
landing_page_id_15,28608608927.865063
landing_page_id_16,28608608933.541424
landing_page_id_17,13408325722.096342
landing_page_id_18,28608608928.034046
landing_page_id_19,52379709489.32555
landing_page_id_20,102637622703.43079
landing_page_id_21,83096956627.24442
landing_page_id_22,28608608927.86598
landing_page_id_23,4272179124.865577
landing_page_id_24,35215167596.66748
landing_page_id_25,28608608927.577324
landing_page_id_26,28608608925.989136
landing_page_id_27,28608608925.883762
landing_page_id_28,28608608925.52266
landing_page_id_29,28608608925.715153
landing_page_id_30,30265221785.377464
landing_page_id_31,28608608920.4449
landing_page_id_32,18697194275.458405
landing_page_id_33,11335004138.475363
landing_page_id_34,2588649185.085125
landing_page_id_35,38359061658.11272
landing_page_id_36,34591012272.15785
landing_page_id_37,26457194705.513554
landing_page_id_38,32639568117.739983
landing_page_id_39,11458115539.7122
landing_page_id_40,34740528336.957405
landing_page_id_41,24862025709.66926
landing_page_id_42,28608608929.07792
landing_page_id_43,28608608927.18215
landing_page_id_44,20520977217.82604
landing_page_id_45,23460444719.845673
landing_page_id_46,28608608920.476784
landing_page_id_47,28608608922.330135
landing_page_id_48,28608608925.518173
landing_page_id_49,28608608925.64224
landing_page_id_50,28608608927.25168
landing_page_id_51,28608608922.61823
landing_page_id_52,2745786936.7601237
landing_page_id_53,28608608922.47094
landing_page_id_54,28608608929.696613
landing_page_id_55,28608608926.940956
landing_page_id_56,28608608926.132496
landing_page_id_57,28608608930.750214
landing_page_id_58,28608608924.016052
landing_page_id_59,23460444713.99737
landing_page_id_60,28608608926.263744
landing_page_id_61,3313051955.5993752
landing_page_id_62,28608608925.86797
landing_page_id_63,28608608925.862606
landing_page_id_64,28608608926.767757
landing_page_id_65,11458115540.826492
landing_page_id_66,28608608931.85456
landing_page_id_67,28608608926.768127
landing_page_id_68,14934642925.699562
landing_page_id_69,28608608924.772614
landing_page_id_70,2536464030.2913694
landing_page_id_71,28608608924.857376
landing_page_id_72,19127489311.01719
landing_page_id_73,28608608926.7984
landing_page_id_74,8678762903.203222
origin_113,37893728200.39117
origin_direct_traffic,20743234815.224358
origin_display,317418270.877789
origin_email,20743234817.186905
origin_organic_search,20743234815.387405
origin_other,14611315406.766819
origin_paid_search,20743234814.739883
origin_referral,20743234816.23249
origin_social,20743234819.678535
origin_unknown,20743234815.653152
sdr_id_0,25386621375.370033
sdr_id_1,25386621373.29253
sdr_id_2,25386621376.183746
sdr_id_3,1357771297.183362
sdr_id_4,25386621374.26729
sdr_id_5,25386621374.761444
sdr_id_6,1238232723.817928
sdr_id_7,25386621374.2094
sdr_id_8,25386621373.838066
sdr_id_9,25386621371.42539
sdr_id_10,25386621373.1801
sdr_id_11,25386621375.409527
sdr_id_12,25386621373.789154
sdr_id_13,25386621374.274765
sdr_id_14,25386621373.959244
sdr_id_15,25386621373.63602
sdr_id_16,381963051.9302661
sdr_id_17,25386621373.105927
sr_id_0,34140979680.887047
sr_id_1,34140979679.48237
sr_id_2,34140979682.42684
sr_id_3,37887562891.32018
sr_id_4,34140979680.256172
sr_id_5,34140979678.256393
sr_id_6,34140979681.921417
sr_id_7,34140979684.028496
sr_id_8,34140979681.405388
sr_id_9,34140979680.05832
sr_id_10,34140979680.95047
sr_id_11,451970884.8007763
sr_id_12,34140979681.880802
