,Coefficient
sdr_load,0.3964649706447735
sr_load,0.18285074412941602
landing_page_id_0,9.9537073601311e-05
landing_page_id_1,5.636987324302402e-06
landing_page_id_2,0.0014933736763051938
landing_page_id_3,0.0
landing_page_id_4,0.0
landing_page_id_5,0.001278811358427621
landing_page_id_6,1.8133264752052693e-05
landing_page_id_7,0.0001698572037853889
landing_page_id_8,4.970985508566295e-06
landing_page_id_9,3.0473062659558394e-05
landing_page_id_10,5.868432904445646e-07
landing_page_id_11,0.006314281350810412
landing_page_id_12,1.5652957468673074e-05
landing_page_id_13,0.004880666146883543
landing_page_id_14,0.00014459632419940258
landing_page_id_15,1.3949429056102202e-05
landing_page_id_16,2.3640092485568612e-05
landing_page_id_17,7.158478333935429e-05
landing_page_id_18,0.009456563927032965
landing_page_id_19,6.650085971600512e-05
landing_page_id_20,1.680253860891473e-05
landing_page_id_21,3.197480432990379e-05
landing_page_id_22,2.0399051672695266e-05
landing_page_id_23,0.000765976578838378
landing_page_id_24,1.902218204923121e-05
landing_page_id_25,6.129744523235836e-06
landing_page_id_26,0.0029869182393156353
landing_page_id_27,0.004571887750507171
landing_page_id_28,5.951980984525751e-05
landing_page_id_29,0.0
landing_page_id_30,1.5564090988528578e-06
landing_page_id_31,0.001189679254552669
landing_page_id_32,9.605499371036313e-06
landing_page_id_33,0.0
landing_page_id_34,0.0014686619746503054
landing_page_id_35,7.981155561114647e-05
landing_page_id_36,0.0
landing_page_id_37,0.00017839040474326563
landing_page_id_38,7.306890524220943e-05
landing_page_id_39,0.0
landing_page_id_40,1.3496049117158875e-05
landing_page_id_41,0.00019284309681704992
landing_page_id_42,0.0
landing_page_id_43,0.029008994610420603
landing_page_id_44,1.0348689584260771e-06
landing_page_id_45,6.268314837575664e-05
landing_page_id_46,0.0036322040191939316
landing_page_id_47,0.0
landing_page_id_48,0.00020812808647241015
landing_page_id_49,7.910825682985282e-05
landing_page_id_50,0.0006319394717623703
landing_page_id_51,0.0004455156587630651
landing_page_id_52,0.0033682296897531794
landing_page_id_53,6.451855294558919e-05
landing_page_id_54,0.00024655838419869794
landing_page_id_55,0.00014204026660441163
landing_page_id_56,0.003206573120456799
landing_page_id_57,0.0001129391047903256
landing_page_id_58,0.0001252547502224407
landing_page_id_59,2.8728661752680193e-06
landing_page_id_60,0.0
landing_page_id_61,7.482815413428092e-05
landing_page_id_62,0.001088632347375118
landing_page_id_63,0.0
landing_page_id_64,2.666210597446642e-05
landing_page_id_65,1.3595065125303187e-05
landing_page_id_66,0.0
landing_page_id_67,3.379206458270641e-05
landing_page_id_68,3.878017454801106e-06
landing_page_id_69,0.0008330396862026398
landing_page_id_70,6.060181996735264e-06
landing_page_id_71,2.1259960547023988e-05
landing_page_id_72,1.6953804519040527e-05
landing_page_id_73,0.00010501080553426868
landing_page_id_74,3.758846522699895e-05
origin_direct_traffic,0.002217800125989777
origin_display,0.0007057676871722856
origin_email,0.001049948802388664
origin_hundred_thirteen,0.0016907407601119701
origin_organic_search,0.004656707509747328
origin_other,1.8194890297341508e-05
origin_paid_search,0.004410744280493651
origin_referral,0.0011719154260573957
origin_social,0.003418466224722108
origin_unknown,0.004078766413519518
sdr_id_0,0.002983937453129715
sdr_id_1,0.0027110988319993695
sdr_id_2,0.009214881639528985
sdr_id_3,0.0
sdr_id_4,0.005605192257893005
sdr_id_5,0.003645056210686214
sdr_id_6,0.000893911369599319
sdr_id_7,0.02226874743076609
sdr_id_8,0.003064501213646196
sdr_id_9,0.00012119663026814239
sdr_id_10,0.004829439981600789
sdr_id_11,0.004946233750956341
sdr_id_12,0.002674107019045183
sdr_id_13,0.007957824615646654
sdr_id_14,0.001482921177295416
sdr_id_15,0.0024839642027682262
sdr_id_16,0.0036724617460945786
sdr_id_17,0.0011608865650811746
sr_id_0,0.0008923257214058711
sr_id_1,0.003341880198469571
sr_id_2,0.005133827151871855
sr_id_3,0.012205130076005708
sr_id_4,0.0028933937872790624
sr_id_5,0.0052312055274018245
sr_id_6,0.01141619917009855
sr_id_7,0.0013111297600253563
sr_id_8,0.002380229183469213
sr_id_9,0.002996512960661146
sr_id_10,0.0029441639854185745
sr_id_11,0.00010084491319902658
sr_id_12,0.002393223439010569
sr_id_13,0.0014629411695051405
sr_id_14,0.0008438908974024598
sr_id_15,0.03894096595135874
sr_id_16,0.001088452545449242
sr_id_17,0.001668767355641139
business_segment_air_conditioning,0.00013261556455214764
business_segment_audio_video_electronics,0.005513420561663523
business_segment_baby,0.00028867085806296507
business_segment_bags_backpacks,0.0013275246971340296
business_segment_bed_bath_table,0.012985689102292787
business_segment_books,0.00043635470327199567
